bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,is_proven,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Music","/explore/music","/projects/reif-fur-die-insel","2016-09-15T23:59:59-07:00","EUR","70","0.0002","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/e8vh607rlzgh456yj4xr.jpg","false","false","false","null","2016-07-17T08:36:30-07:00","null","null","null","null","null","1808959","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Wir sind reif für die Insel! Du auch?","[""other""]","Reif für die Insel"
"null","Music","/explore/music","/projects/el-barrio-latin-jazz-festival-east-harlem-nyc","2016-08-17T23:59:59-07:00","USD","1000","0.125","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ewzawv5xjul3ph0pimyo.jpg","false","false","false","null","2016-07-08T12:36:46-07:00","null","null","null","null","null","1788271","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A 10 day music festival in East Harlem, NYC, the birthplace of Latin Jazz.","[""other""]","El Barrio Latin Jazz Festival: East Harlem, NYC"
"null","Music","/explore/music","/projects/f-u-n-k-music-video","2016-08-11T23:59:59-07:00","USD","1380","0.1725","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/j08lbuzvxrktvfcm5fmg.jpg","false","false","false","null","2016-06-12T19:06:45-07:00","null","null","null","null","null","1786301","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help fund a music video shoot that will bring the audience right into the music.","[""music video""]","F.U.N.K. Music Video"
"null","Music","/explore/music","/projects/afreekanism-adedeji-s-second-album","2016-10-30T23:59:59-07:00","USD","747","0.06225","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wxtitmgyhqrago732zyx.jpg","false","false","false","null","2016-08-31T08:35:27-07:00","null","null","null","null","null","1813314","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Looking for help from music lovers to complete Afreekanism a futuristic African music with an edge","[""other""]","Afreekanism -Adedeji's Second Album"
"null","Music","/explore/music","/projects/the-port-of-life-a-total-work-of-art","2016-10-25T23:59:59-07:00","EUR","1485","0.7425","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dzicy1iy28oa0q9mvszk.jpg","false","false","false","null","2016-09-09T12:55:58-07:00","null","null","null","null","null","1869378","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Welcome to The Port of Life. The time has come. Pre-order your copy of a momentous work of art.","[""other""]","The Port of Life - A Total Work of Art"
"null","Music","/explore/music","/projects/new-van","2016-10-31T23:59:59-07:00","USD","287","0.0574","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wsllc6abee0vhjfyl8ia.jpg","false","false","false","null","2016-09-01T13:34:13-07:00","null","null","null","null","null","1873919","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","In order for us to start touring we need a good van. We need your help to make this happen.","[""other""]","New Van"
"null","Music","/explore/music","/projects/mulberry-soul-album-pre-sale","2016-05-29T23:59:59-07:00","USD","871","0.4355","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qt2jbx7vkgkg2vf2fdxb.jpg","false","false","false","null","2016-04-29T10:41:33-07:00","null","null","null","null","null","1736369","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We've got music for you!","[""other""]","Mulberry Soul Album Pre-sale!"
"null","Music","/explore/music","/projects/ghostface-killah-s-wu-goo-cbd-oil-project--2","2016-03-26T23:59:59-07:00","USD","510","0.255","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/foyf65imw6gvm2vowhox.jpg","false","false","false","null","2016-02-25T05:10:24-08:00","null","null","null","null","null","1658550","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","GHOSTFACE KILLAH'S WU GOO CBD OIL PROJECT","[""other""]","GHOSTFACE KILLAH'S WU GOO CBD OIL PROJECT"
"null","Music","/explore/music","/projects/the-anchor-collective-s-first-full-length-album","2016-07-15T23:59:59-07:00","USD","2291","0.388305084746","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kwgvlujdc4oikrkwiw8m.jpg","false","false","false","null","2016-05-16T18:25:47-07:00","null","null","null","null","null","1607094","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","ATLAS: We are each other's keepers.","[""other""]","The Anchor Collective's First Full Length Album"
"null","Music","/explore/music","/projects/nihil-s-debut-studio-album","2016-05-08T23:59:59-07:00","USD","850","0.085","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ytuv000hqadrpzfyaxif.jpg","false","false","false","null","2016-03-09T22:00:21-08:00","null","null","null","null","null","1600577","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help us make our first professionally recorded and produced studio album!","[""other""]","NIHIL's Debut Studio Album"
"null","Music","/explore/music","/projects/music-for-youth-circus-an-album-by-leslie-vogel--2","2016-03-23T23:59:59-07:00","USD","2835","0.50625","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nnnqvxtda2fcsfyabggy.jpg","false","false","false","null","2016-01-23T05:01:40-08:00","null","null","null","null","null","1613933","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The quintessential collection of music for youth circus performances, composed by Leslie Vogel.","[""other""]","Music for Youth Circus: An Album by Leslie Vogel"
"null","Music","/explore/music","/projects/jack-of-the-ville-hogan-s-goat-lp","2016-06-25T23:59:59-07:00","USD","6014","0.801866666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/avp0g4umnojclvs6lblr.jpg","false","false","false","null","2016-05-06T08:27:41-07:00","null","null","null","null","null","1651185","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","#MakeAmericaGoatAgain","[""other""]","Jack Of The Ville - Hogan's Goat LP"
"null","Music","/explore/music","/projects/help-elliot-sing-in-israel","2016-05-14T23:59:59-07:00","USD","1278","0.365142857143","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tbn73usmz9yme4cd5vkc.jpg","false","false","false","null","2016-03-15T19:34:24-07:00","null","null","null","null","null","1681818","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help me sing in Israel this summer!","[""other""]","Help Elliot sing in Israel"
"null","Music","/explore/music","/projects/jason-ellsworth-band-new-album","2016-05-13T23:59:59-07:00","USD","2951","0.245916666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jmmfcjpnluqbpnzipcmm.jpg","false","false","false","null","2016-03-14T15:50:59-07:00","null","null","null","null","null","1678657","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Partner with the Jason Ellsworth Band to make this new CD available at no cost to everyone!","[""other""]","Jason Ellsworth Band - New Album"
"null","Music","/explore/music","/projects/help-langtunes-from-iran-get-back-on-the-stage","2016-06-22T23:59:59-07:00","EUR","747","0.249","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/t5upkadv9ju1khnqmxtt.jpg","false","false","false","null","2016-05-08T11:20:13-07:00","null","null","null","null","null","1743348","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The four Iranian musicians are trying to get back on the stage. Be part of it and help them succeed.","[""other""]","Help Langtunes from Iran, get back on the stage! "
"null","Music","/explore/music","/projects/welcome-to-my-world-is-clif-payne-s-first-solo-cd","2016-03-27T23:59:59-07:00","USD","205","0.017083333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fl1gsn81gg5ijwj4fkmh.jpg","false","false","false","null","2016-02-06T19:39:04-08:00","null","null","null","null","null","1601201","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Welcome To My World on CD Baby& Amazon.com!
Featuring the duet with Freda Payne ""No Payne, No Gain.""","[""other""]","Welcome To My World is Clif Payne's First Solo CD"
