Credit Card,Category,Amount,Buyer,Validation,,cardkey,categorykey
4,4,11.53,0,0,,,
4,4,50.48,1,0,,,
4,3,20.56,1,0,,,
4,5,4.28,1,0,,,
4,3,14.65,1,0,,,
4,5,254.45,1,0,,,
4,4,3.99,1,0,,,
4,9,339.26,1,0,,,
4,3,25.06,0,1,,,
4,3,59.57,1,1,,,
4,4,10,1,1,,,
4,8,27.56,0,1,,,
4,4,49.79,0,1,,,
4,3,18.39,1,1,,,
4,4,10.73,0,1,,,
4,4,20,1,1,,,
4,4,25,1,1,,,
4,4,117.95,1,1,,,
4,5,215,1,1,,,
4,9,22.85,1,1,,,
4,8,105.68,0,1,,,
4,4,10,0,1,,,
4,4,29.5,0,1,,,
4,2,12,0,1,,,
4,8,26.74,0,1,,,
4,3,50.28,0,1,,,
4,4,96,0,1,,,
4,11,69.12,0,1,,,
4,8,272.11,1,1,,,
4,8,-42.59,1,1,,,
4,3,10.93,0,1,,,
4,1,45,0,1,,,
4,5,176.13,0,1,,,
4,10,39.52,0,1,,,
4,9,70.2,0,1,,,
4,3,28.39,1,1,,,
4,3,11,1,1,,,
4,4,17.5,0,1,,,
4,3,18.43,0,1,,,
4,5,150,0,1,,,
4,10,7.46,0,1,,,
4,3,10.93,1,1,,,
4,8,57.62,1,1,,,
4,4,90.34,0,1,,,
4,11,31.49,0,1,,,
4,3,17.59,1,1,,,
4,10,87.68,1,1,,,
4,4,35.46,0,1,,,
4,2,7,1,1,,,
4,3,27.05,0,1,,,
4,11,19.2,0,1,,,
4,3,20.72,1,1,,,
4,4,28,0,1,,,
4,5,137.98,0,1,,,
4,7,179.24,1,1,,,
4,10,28.19,0,1,,,
4,4,19.56,0,1,,,
4,4,32.75,0,1,,,
4,4,5.35,1,1,,,
4,10,19.54,1,1,,,
4,7,80,1,1,,,
4,7,2.5,1,1,,,
4,7,57,1,1,,,
4,3,20.64,0,1,,,
4,4,16,0,1,,,
4,11,50.43,1,1,,,
4,7,20,1,1,,,
4,5,7.61,1,1,,,
4,4,36.92,0,1,,,
4,4,39.39,1,1,,,
4,4,75.76,1,1,,,
4,1,64.22,0,1,,,
4,7,361.94,1,1,,,
4,7,110.14,1,1,,,
4,7,72,1,1,,,
4,3,12.39,0,1,,,
5,10,7.46,0,0,,,
5,3,44.75,1,0,,,
5,3,4.08,1,0,,,
5,3,40.26,1,0,,,
5,3,65,1,0,,,
5,3,5.94,1,0,,,
5,3,7.81,1,0,,,
5,3,6.45,1,0,,,
5,3,59.5,1,0,,,
5,3,18.36,0,0,,,
5,3,3.8,1,0,,,
5,3,54,1,0,,,
5,3,7.45,0,0,,,
5,3,4.06,1,0,,,
5,3,14.43,1,1,,,
5,3,16.14,1,1,,,
5,3,56,1,1,,,
5,3,35.47,0,1,,,
5,3,64,1,1,,,
5,3,21.14,1,1,,,
5,3,5.46,1,1,,,
5,3,52.5,1,1,,,
5,3,1.07,1,1,,,
5,3,32,1,1,,,
5,3,6.55,1,1,,,
5,3,8,1,1,,,
5,3,48.79,0,1,,,
5,3,3.21,1,1,,,
5,3,8.37,1,1,,,
5,3,78,1,1,,,
5,3,23.7,1,1,,,
5,3,110.78,1,1,,,
5,3,32.51,1,1,,,
5,3,16.44,1,1,,,
5,3,42.12,0,1,,,
5,3,85.22,1,1,,,
5,3,15,1,1,,,
5,3,89,1,1,,,
5,3,21,0,1,,,
5,3,54,1,1,,,
5,3,24.27,1,1,,,
5,3,48.5,1,1,,,
