user names
JoeBiden        POTUS          
JoeBiden        SecDef         
JoeBiden        WhiteHouse     
JoeBiden        DouglasEmhoff  
JoeBiden        KamalaHarris   
JoeBiden        timkaine       
JoeBiden        HillaryClinton 
JoeBiden        ObamaWhiteHouse
JoeBiden        VP44           
JoeBiden        TheDemocrats   
JoeBiden        MichelleObama  
JoeBiden        BarackObama    
KamalaHarris    VP             
KamalaHarris    SecDef         
KamalaHarris    WhiteHouse     
KamalaHarris    JoeBiden       
KamalaHarris    timkaine       
KamalaHarris    DouglasEmhoff  
KamalaHarris    HillaryClinton 
KamalaHarris    GabbyGiffords  
KamalaHarris    MichelleObama  
KamalaHarris    VP44           
KamalaHarris    repjohnlewis   
KamalaHarris    SpeakerPelosi  
KamalaHarris    ObamaWhiteHouse
KamalaHarris    BarackObama    
BarackObama     VP             
BarackObama     POTUS          
BarackObama     HillaryClinton 
BarackObama     KamalaHarris   
BarackObama     repjohnlewis   
BarackObama     JoeBiden       
BarackObama     GabbyGiffords  
BarackObama     MichelleObama  
BarackObama     VP44           
BarackObama     ObamaWhiteHouse
BarackObama     SpeakerPelosi  
BarackObama     timkaine       
BarackObama     TheDemocrats   
AOC             SecDef         
AOC             POTUS          
AOC             GabbyGiffords  
AOC             WhiteHouse     
AOC             DouglasEmhoff  
AOC             TheDemocrats   
AOC             SpeakerPelosi  
AOC             HillaryClinton 
AOC             MichelleObama  
AOC             repjohnlewis   
AOC             JoeBiden       
AOC             KamalaHarris   
AOC             BarackObama    
AOC             VP             
